Category,City,Container,Customer ID,Customer Name,Customer Segment,Department,Item ID,Item,Order Date,Order ID,Order Priority,Postal Code,Region,Row ID,Ship Date,Ship Mode,State,Discount,Order Quantity,Product Base Margin,Profit,Sales,Shipping Cost,Unit Price
Binders and Binder Accessories,Harrison,Small Box,1734,Christopher Meadows,Small Business,Office Supplies,10202,Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind,8/14/2014,88443,Not Specified,10528,East,10/31/1950,8/14/2014,Regular Air,New York,0.02,9,0.35,7890,11434,20,1271
Telephones and Communication,Harrison,Small Box,1734,Christopher Meadows,Small Business,Technology,10095,StarTAC 8000,8/13/2015,88443,Not Specified,10528,East,11/1/1950,8/13/2015,Express Air,New York,0.05,19,0.6,1546,3229,9,206
Computer Peripherals,Merritt Island,Small Pack,2442,Natalie Aldridge,Consumer,Technology,10115,"Imation 3.5, DISKETTE 44766 HGHLD3.52HD/FM, 10/Pack",8/27/2015,89300,Medium,32953,South,1/19/1955,8/27/2015,Regular Air,Florida,0.01,5,0.79,-4,27,5,5
Appliances,Boston,Small Box,975,Francis Evans,Corporate,Office Supplies,10331,Hoover Replacement Belt for Commercial Guardsman Heavy-Duty Upright Vacuum,7/21/2016,87260,Low,2108,East,7/10/1966,7/21/2016,Regular Air,Massachusetts,0.1,3,0.55,-21,9,5,2
Computer Peripherals,Potomac,Small Pack,321,Arthur Lowe Nash,Consumer,Technology,10692,"80 Minute Slim Jewel Case CD-R , 10/Pack - Staples",9/30/2015,91057,Low,20854,East,7/5/1956,9/30/2015,Regular Air,Maryland,0.04,11,0.52,10,90,2,8
Binders and Binder Accessories,Paragould,Small Box,1918,Hannah Tyson,Home Office,Office Supplies,10452,"Avery® 3 1/2"" Diskette Storage Pages, 10/Pack",9/13/2016,85898,Low,72450,South,11/26/1960,9/19/2016,Express Air,Arkansas,0.1,17,0.39,126,168,6,10
Office Furnishings,Saint Paul,Small Box,635,Juan Justice,Corporate,Furniture,11088,Eldon® Wave Desk Accessories,12/22/2015,89284,High,55106,Central,1/5/1953,12/22/2015,Regular Air,Minnesota,0.01,12,0.43,-104,28,5,2
Storage & Organization,Saint Paul,Jumbo Drum,635,Juan Justice,Corporate,Office Supplies,10909,"Sauder Facets Collection Locker/File Cabinet, Sky Alder Finish",12/22/2015,89284,High,55106,Central,1/6/1953,12/22/2015,Delivery Truck,Minnesota,0.03,6,0.65,-124,2309,99,371
Office Machines,Iselin,Jumbo Drum,2604,Gina Curry,Corporate,Technology,10111,Panasonic KX-P3200 Dot Matrix Printer,11/26/2016,87383,Critical,8830,East,1/30/1957,11/28/2016,Delivery Truck,New Jersey,0.01,3,0.6,-338,945,18,297
Telephones and Communication,Hackensack,Small Box,2603,Penny Leach,Corporate,Technology,11039,2160i,11/28/2015,87383,Critical,7601,East,1/29/1957,11/30/2015,Regular Air,New Jersey,0.07,22,0.59,2225,3705,4,201
Tables,Lima,Jumbo Box,1891,Gretchen Levine,Home Office,Furniture,10253,"Chromcraft 48"" x 96"" Racetrack Double Pedestal Table",7/20/2016,90630,Not Specified,45801,East,5/24/1965,7/20/2016,Delivery Truck,Ohio,0.03,7,0.66,430,2233,29,321
Labels,Arvada,Small Box,1113,Julia Reynolds,Corporate,Office Supplies,10986,Avery 498,2/22/2016,90833,Critical,80004,West,5/7/1971,2/22/2016,Regular Air,Colorado,0.01,14,0.38,30,43,1,3
Binders and Binder Accessories,Lafayette,Small Box,2481,Kelly Sawyer,Corporate,Office Supplies,10653,Wilson Jones Impact Binders,2/15/2016,91000,Critical,70506,South,4/22/1967,2/15/2016,Express Air,Louisiana,0.07,14,0.36,-188,80,6,5
Telephones and Communication,Arvada,Small Pack,1113,Julia Reynolds,Corporate,Technology,10987,Accessory6,2/22/2016,90833,Critical,80004,West,5/8/1971,2/22/2016,Regular Air,Colorado,0,5,0.8,-187,259,5,56
Computer Peripherals,Boston,Small Box,2196,Gene Heath Cross,Small Business,Technology,10641,Belkin MediaBoard 104- Keyboard,11/30/2015,89175,Medium,2129,East,4/28/1952,11/30/2015,Regular Air,Massachusetts,0.03,11,0.75,-89,295,4,27
Computer Peripherals,Boston,Small Box,2196,Gene Heath Cross,Small Business,Technology,10661,Motorola SB4200 Cable Modem,11/30/2015,89175,Medium,2129,East,4/29/1952,11/30/2015,Regular Air,Massachusetts,0.1,14,0.48,1209,2458,20,180
Chairs & Chairmats,Garden City,Jumbo Drum,2073,Evan Kelley,Consumer,Furniture,10399,Hon 4070 Series Pagoda™ Armless Upholstered Stacking Chairs,12/14/2015,88557,Not Specified,48135,Central,7/24/1967,12/14/2015,Delivery Truck,Michigan,0.05,6,0.56,550,1818,49,292
Storage & Organization,Boston,Small Box,2196,Gene Heath Cross,Small Business,Office Supplies,10656,"Fellowes Strictly Business® Drawer File, Letter/Legal Size",11/28/2016,89175,Medium,2129,East,4/30/1952,11/28/2016,Regular Air,Massachusetts,0.1,19,0.73,10,2466,20,141
Telephones and Communication,Moscow,Small Box,1730,Kerry Wilkerson,Small Business,Technology,10897,StarTAC 7760,10/23/2015,90653,High,83843,West,3/14/1967,10/23/2015,Express Air,Idaho,0.1,5,0.59,-89,273,4,66
Computer Peripherals,University City,Small Box,1957,Ted Crowder,Consumer,Technology,10259,Micro Innovations Media Access Pro Keyboard,10/26/2016,89818,High,63130,Central,3/29/1959,10/26/2016,Regular Air,Missouri,0.09,1,0.76,-387,77,4,78
Office Furnishings,Oxford,Small Pack,2561,Laurie Moon,Consumer,Furniture,11191,Aluminum Document Frame,12/2/2016,86466,Not Specified,1540,East,5/31/1963,12/2/2016,Regular Air,Massachusetts,0.07,12,0.55,89,147,3,12
Paper,Cary,Small Box,1018,Meredith Humphrey,Home Office,Office Supplies,11000,Personal Creations™ Ink Jet Cards and Labels,2/18/2016,88391,Medium,27511,South,7/9/1968,2/18/2016,Regular Air,North Carolina,0,6,0.36,116,76,5,11
Pens & Art Supplies,Atlanta,Wrap Bag,2655,Benjamin Lam,Corporate,Office Supplies,10738,Prang Colored Pencils,2/1/2016,86064,Critical,30318,South,10/19/1962,2/1/2016,Regular Air,Georgia,0.07,10,0.4,-94,30,1,3
Envelopes,Cary,Small Box,1018,Meredith Humphrey,Home Office,Office Supplies,10853,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,2/18/2016,88391,Medium,27511,South,7/8/1968,2/18/2016,Regular Air,North Carolina,0.05,19,0.4,23,680,15,36
Bookcases,Bullhead City,Jumbo Box,2699,Marcia Greenberg,Corporate,Furniture,10993,"Hon Metal Bookcases, Black",12/27/2014,87679,Not Specified,86442,West,6/12/1957,12/29/2014,Delivery Truck,Arizona,0.04,19,0.6,-85,1345,27,71
Binders and Binder Accessories,Oxford,Small Box,2561,Laurie Moon,Consumer,Office Supplies,10924,Ibico Presentation Index for Binding Systems,12/4/2015,86466,Not Specified,1540,East,5/30/1963,12/4/2015,Regular Air,Massachusetts,0.07,7,0.38,-60,30,5,4
Labels,Cabot,Small Box,2488,Gordon Walker,Consumer,Office Supplies,10984,Avery 493,9/21/2015,86887,High,72023,South,12/7/1954,9/21/2015,Regular Air,Arkansas,0.08,9,0.36,13,43,1,5
Labels,Oxford,Small Box,2491,Sean N Boyer,Consumer,Office Supplies,10984,Avery 493,10/22/2015,14785,High,1540,East,8/26/1905,10/22/2015,Regular Air,Massachusetts,0.08,36,0.36,32,171,1,5
Binders and Binder Accessories,Carpentersville,Small Box,1250,Kara Patton,Corporate,Office Supplies,10862,Avery Binder Labels,7/20/2015,87877,High,60110,Central,5/30/1950,7/20/2015,Regular Air,Illinois,0,21,0.37,-255,86,7,4
Computer Peripherals,Austin,Small Box,191,Gerald Kearney,Corporate,Technology,10282,Fellowes 17-key keypad for PS/2 interface,7/15/2015,89093,Not Specified,78745,Central,3/7/1956,7/15/2015,Regular Air,Texas,0.09,7,0.75,-100,203,4,31
Pens & Art Supplies,Cabot,Small Pack,2488,Gordon Walker,Consumer,Office Supplies,10100,"Boston Model 1800 Electric Pencil Sharpener, Gray",9/19/2016,86887,High,72023,South,12/8/1954,9/19/2016,Regular Air,Arkansas,0.02,11,0.55,161,327,6,28
Pens & Art Supplies,Oxford,Small Pack,2491,Sean N Boyer,Consumer,Office Supplies,10100,"Boston Model 1800 Electric Pencil Sharpener, Gray",10/20/2016,14785,High,1540,East,8/27/1905,10/20/2016,Regular Air,Massachusetts,0.02,45,0.55,117,1339,6,28
Paper,Carpentersville,Small Box,1250,Kara Patton,Corporate,Office Supplies,11160,"IBM Multi-Purpose Copy Paper, 8 1/2 x 11"", Case",7/21/2014,87877,High,60110,Central,6/1/1950,7/21/2014,Regular Air,Illinois,0.1,8,0.4,109,226,6,31
Telephones and Communication,Oak Creek,Small Pack,2976,Fred Barber,Small Business,Technology,10366,Accessory31,11/20/2014,89047,Medium,53154,Central,8/28/1953,11/20/2014,Regular Air,Wisconsin,0.01,41,0.35,882,1279,1,36
Bookcases,Fruit Cove,Jumbo Box,2858,Jerry Webster,Corporate,Furniture,10884,"O'Sullivan Elevations Bookcase, Cherry Finish",12/8/2014,88282,Low,32259,South,9/1/1950,12/8/2014,Delivery Truck,Florida,0.1,42,0.69,670,5295,55,131
Computer Peripherals,Oxford,Small Box,1027,Brian Bennett,Small Business,Technology,10679,Keytronic French Keyboard,1/8/2016,89004,High,1540,East,1/16/1962,1/8/2016,Regular Air,Massachusetts,0.1,5,0.79,-230,347,4,74
Computer Peripherals,Bozeman,Small Box,2037,Lynda Herman,Small Business,Technology,10679,Keytronic French Keyboard,11/16/2015,89333,Not Specified,59715,West,1/9/1954,11/20/2015,Regular Air,Montana,0,4,0.65,-89,306,15,74
Telephones and Communication,Caldwell,Wrap Bag,2741,Megan York,Small Business,Technology,10681,Accessory41,2/10/2016,89481,Low,83605,West,9/20/1954,2/10/2016,Regular Air,Idaho,0.01,10,0.38,218,316,6,36
Telephones and Communication,Southbury,Small Box,1035,Kent Burton,Home Office,Technology,10890,i2000,8/19/2014,90710,Critical,6488,East,2/13/1960,8/19/2014,Regular Air,Connecticut,0.07,1,0.6,-604,101,3,126
Paper,Reisterstown,Small Box,600,Vickie Morse,Corporate,Office Supplies,10828,Xerox 210,8/18/2016,87579,Medium,21136,East,3/30/1958,8/18/2016,Regular Air,Maryland,0.06,5,0.37,-75,32,7,6
Binders and Binder Accessories,Coachella,Small Box,573,Vanessa Winstead,Home Office,Office Supplies,10223,"ACCOHIDE® 3-Ring Binder, Blue, 1""",10/8/2014,86555,Critical,92236,West,12/8/1964,10/8/2014,Regular Air,California,0.05,1,0.38,-12,6,5,4
Computer Peripherals,Dublin,Small Box,1036,Jessica Huffman,Home Office,Technology,10693,US Robotics 56K V.92 External Faxmodem,8/18/2015,90710,Critical,43017,East,2/14/1960,8/18/2015,Regular Air,Ohio,0.03,6,0.52,294,598,20,100
Tables,Paducah,Jumbo Box,2345,Colleen Marsh,Corporate,Furniture,10550,"Bevis Round Conference Table Top, X-Base",3/14/2013,89504,Medium,42003,South,2/29/1952,3/14/2014,Delivery Truck,Kentucky,0.02,2,0.76,-411,311,29,179
Chairs & Chairmats,Paducah,Jumbo Drum,2345,Colleen Marsh,Corporate,Furniture,11111,"Global Leather Highback Executive Chair with Pneumatic Height Adjustment, Black",3/15/2013,89504,Medium,42003,South,2/28/1952,3/14/2014,Delivery Truck,Kentucky,0.07,9,0.58,-132,1806,24,201
Tables,West Islip,Large Box,605,Alison Peters Wooten,Corporate,Furniture,10683,Laminate Occasional Tables,11/19/2014,91144,Critical,11795,East,4/9/1960,11/20/2014,Express Air,New York,0.09,10,0.68,-1764,1495,69,154
Tables,Los Angeles,Large Box,604,Lindsay P Ashley,Corporate,Furniture,10683,Laminate Occasional Tables,12/22/2014,28647,Critical,90045,West,12/28/1910,12/22/2014,Express Air,California,0.09,38,0.68,-1764,5680,69,154
Paper,Detroit,Small Box,373,Jeanne Werner,Small Business,Office Supplies,10872,Xerox 1971,3/15/2013,24193,Not Specified,48234,Central,4/15/1909,3/14/2014,Regular Air,Michigan,0.02,24,0.4,-64,110,5,4
Paper,Morristown,Small Box,375,Sandra Sharma,Small Business,Office Supplies,10872,Xerox 1971,9/23/2015,90917,Not Specified,37814,South,7/27/1958,9/23/2015,Regular Air,Tennessee,0.02,6,0.4,197,27,5,4
Bookcases,Detroit,Jumbo Box,373,Jeanne Werner,Small Business,Furniture,10244,O'Sullivan Living Dimensions 3-Shelf Bookcases,3/16/2013,24193,Not Specified,48234,Central,4/14/1909,3/14/2014,Delivery Truck,Michigan,0.02,45,0.75,-164,9540,56,201
Bookcases,Morristown,Jumbo Box,375,Sandra Sharma,Small Business,Furniture,10244,O'Sullivan Living Dimensions 3-Shelf Bookcases,9/23/2015,90917,Not Specified,37814,South,7/26/1958,9/23/2015,Delivery Truck,Tennessee,0.02,11,0.75,-225,2332,56,201
Office Furnishings,Corvallis,Medium Box,3177,Laurie Petty,Consumer,Furniture,11146,Deflect-o Glass Clear Studded Chair Mats,9/15/2015,90818,Not Specified,97330,West,1/21/1967,9/15/2015,Regular Air,Oregon,0.1,9,0.63,-30,512,11,62
Telephones and Communication,Detroit,Wrap Bag,373,Jeanne Werner,Small Business,Technology,11051,Accessory4,3/16/2013,24193,Not Specified,48234,Central,4/16/1909,3/14/2014,Regular Air,Michigan,0.04,19,0.85,-175,1427,1,86
Tables,Canton,Jumbo Box,83,Edgar Stone,Corporate,Furniture,10880,Hon 94000 Series Round Tables,1/1/2016,87365,High,44708,East,1/18/1950,1/1/2016,Delivery Truck,Ohio,0.04,6,0.76,-716,1822,54,296
Office Furnishings,Irving,Small Pack,2426,Jonathan Drummey,Small Business,Furniture,10999,"Advantus Employee of the Month Certificate Frame, 11 x 13-1/2",1/2/2016,90859,High,75061,Central,7/30/1959,1/4/2016,Regular Air,Texas,0.08,3,0.44,63,91,4,31
Pens & Art Supplies,Duluth,Wrap Bag,2372,Marvin Parrott,Corporate,Office Supplies,10644,Newell 310,12/9/2015,90714,Medium,55803,Central,3/13/1960,12/9/2015,Regular Air,Minnesota,0.01,4,0.56,-2,7,1,2
Computer Peripherals,Lewiston,Small Box,727,Lindsay Link,Consumer,Technology,11197,"Belkin 107-key enhanced keyboard, USB/PS/2 interface",11/12/2015,90359,Medium,4240,East,8/29/1953,11/13/2015,Regular Air,Maine,0.1,4,0.79,-100,66,4,18
Telephones and Communication,Stratford,Small Box,724,Beverly Cooke Brooks,Consumer,Technology,10053,SC7868i,11/12/2015,90359,Medium,6614,East,8/30/1953,11/13/2015,Regular Air,Connecticut,0.09,1,0.55,-605,100,9,126
Office Furnishings,Reno,Wrap Bag,871,Sandy Ellington,Home Office,Furniture,10663,Coloredge Poster Frame,3/17/2013,90577,Not Specified,89502,West,10/31/1969,3/17/2014,Regular Air,Nevada,0.03,2,0.46,22,31,5,14
Appliances,Coachella,Jumbo Drum,2323,Emma Buckley,Small Business,Office Supplies,10977,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",12/16/2015,88721,High,92236,West,4/25/1971,12/16/2015,Delivery Truck,California,0.08,5,0.41,-550,338,60,69
Office Furnishings,Marietta,Wrap Bag,1711,Sharon Long,Corporate,Furniture,11011,"Master Giant Foot® Doorstop, Safety Yellow",10/1/2014,87747,Not Specified,30062,South,10/20/1952,10/2/2014,Regular Air,Georgia,0.07,3,0.42,-167,22,4,8
Pens & Art Supplies,Coachella,Small Pack,2323,Emma Buckley,Small Business,Office Supplies,11025,Boston 1730 StandUp Electric Pencil Sharpener,12/16/2015,88721,High,92236,West,4/26/1971,12/16/2015,Regular Air,California,0.04,4,0.59,-52,84,9,21
Paper,Camp Springs,Small Box,1364,Chris Ford,Home Office,Office Supplies,10874,Xerox 1947,10/14/2015,89994,Not Specified,20746,East,12/5/1952,10/19/2015,Regular Air,Maryland,0.1,10,0.4,-90,57,5,6
Computer Peripherals,Parkersburg,Small Pack,1808,Joyce Knox,Home Office,Technology,10698,"Imation Neon Mac Format Diskettes, 10/Pack",7/7/2015,89251,Medium,26101,East,9/30/1951,7/7/2015,Express Air,West Virginia,0.01,10,0.77,-41,89,3,8
Telephones and Communication,Stevens Point,Medium Box,3191,Jenny Hawkins,Corporate,Technology,11113,1726 Digital Answering Machine,9/26/2014,86447,Critical,54481,Central,2/7/1955,9/26/2014,Regular Air,Wisconsin,0.01,5,0.58,-9,94,5,21
Bookcases,Oxford,Jumbo Box,2747,Brian Grady,Corporate,Furniture,10081,"Bush Cubix Collection Bookcases, Fully Assembled",7/9/2014,23751,Medium,1540,East,2/4/1909,7/9/2014,Delivery Truck,Massachusetts,0.01,44,0.62,1049,10364,65,221
Bookcases,Bozeman,Jumbo Box,2745,Arnold Gay,Corporate,Furniture,10081,"Bush Cubix Collection Bookcases, Fully Assembled",2/3/2016,86184,Medium,59715,West,5/18/1958,2/3/2016,Delivery Truck,Montana,0.01,11,0.62,1049,2591,65,221
Appliances,Clinton,Medium Box,1967,Carolyn Hoffman,Small Business,Office Supplies,10684,Honeywell Quietcare HEPA Air Cleaner,9/30/2015,89456,Medium,52732,Central,7/26/1961,9/30/2015,Express Air,Iowa,0.01,8,0.52,442,641,14,79
Chairs & Chairmats,Sudbury,Jumbo Drum,1197,Grace McNeill Hunt,Small Business,Furniture,10949,Hon 4700 Series Mobuis™ Mid-Back Task Chairs with Adjustable Arms,11/17/2016,87583,High,1776,East,12/30/1952,11/17/2016,Delivery Truck,Massachusetts,0.08,4,0.64,104,1351,59,356
Labels,Fresno,Small Box,485,Edward Leonard,Corporate,Office Supplies,10113,Avery 49,1/7/2016,91062,Not Specified,93727,West,8/1/1956,1/7/2016,Regular Air,California,0.05,3,0.36,6,9,1,3
Paper,Sterling Heights,Small Box,2127,Joyce Kern,Home Office,Office Supplies,10284,Xerox 1974,2/15/2016,88418,Critical,48310,Central,12/15/1965,2/15/2016,Regular Air,Michigan,0.1,6,0.36,-50,34,5,6
Chairs & Chairmats,South Burlington,Jumbo Drum,1227,Elsie Hwang,Small Business,Furniture,10712,"Office Star - Contemporary Task Swivel chair with 2-way adjustable arms, Plum",12/30/2015,90800,Medium,5403,East,3/5/1970,12/30/2015,Delivery Truck,Vermont,0.09,10,0.78,-422,1283,30,131
Binders and Binder Accessories,Randallstown,Small Box,322,Regina Kelley,Home Office,Office Supplies,11155,GBC Wire Binding Strips,10/7/2016,91058,High,21133,East,4/12/1970,10/7/2016,Regular Air,Maryland,0.03,8,0.37,175,264,13,32
Telephones and Communication,Riverside,Medium Box,972,Gregory Holden,Corporate,Technology,11113,1726 Digital Answering Machine,2/11/2016,87265,Medium,92503,West,4/22/1954,2/11/2016,Regular Air,California,0.07,1,0.58,-102,19,5,21
Computer Peripherals,Germantown,Small Box,3225,Robyn Crawford,Small Business,Technology,10801,PC Concepts 116 Key Quantum 3000 Keyboard,1/20/2016,86513,Medium,38138,South,4/12/1956,1/20/2016,Regular Air,Tennessee,0.02,8,0.75,-213,281,6,33
Chairs & Chairmats,Derry,Jumbo Drum,1577,Betty Buckley,Corporate,Furniture,10581,Global Deluxe Office Fabric Chairs,12/28/2015,90940,Not Specified,3038,East,10/3/1955,12/28/2015,Delivery Truck,New Hampshire,0.1,13,0.58,-1335,1183,58,96
Storage & Organization,Germantown,Large Box,3225,Robyn Crawford,Small Business,Office Supplies,10652,Carina Double Wide Media Storage Towers in Natural & Black,1/20/2016,86513,Medium,38138,South,4/13/1956,1/20/2016,Regular Air,Tennessee,0.01,8,0.81,487,676,35,81
Office Machines,Oxford,Jumbo Drum,2491,Sean N Boyer,Consumer,Technology,10122,Lexmark 4227 Plus Dot Matrix Printer,12/16/2016,18790,High,1540,East,2/14/1907,12/16/2016,Delivery Truck,Massachusetts,0.01,7,0.55,-1597,13254,15,2036
Binders and Binder Accessories,Rome,Small Box,3015,Julian Stallings,Corporate,Office Supplies,10875,GBC Linen Binding Covers,12/7/2014,91590,Low,13440,East,11/27/1970,12/8/2014,Regular Air,New York,0.02,1,0.37,-24,37,12,31
Paper,Rome,Small Box,3015,Julian Stallings,Corporate,Office Supplies,10876,Xerox 1961,12/6/2015,91590,Low,13440,East,11/28/1970,12/7/2015,Regular Air,New York,0.02,9,0.38,-153,48,8,5
Paper,Southgate,Small Box,619,Howard Rogers,Consumer,Office Supplies,11219,Xerox 1993,12/18/2015,88200,Critical,48195,Central,8/15/1965,12/18/2015,Regular Air,Michigan,0.02,8,0.36,-179,53,10,6
Office Furnishings,Orem,Wrap Bag,530,Ian Bean,Corporate,Furniture,10663,Coloredge Poster Frame,9/14/2016,88541,Critical,84057,West,12/17/1950,9/14/2016,Express Air,Utah,0.01,11,0.46,103,164,5,14
Paper,Arvada,Small Box,1113,Julia Reynolds,Corporate,Office Supplies,10976,Xerox 21,8/12/2014,90835,High,80004,West,3/11/1964,8/12/2014,Regular Air,Colorado,0.04,12,0.37,-119,82,7,6
Pens & Art Supplies,Westerville,Wrap Bag,3369,Stacy Byrne,Home Office,Office Supplies,11018,Newell 339,7/27/2015,90509,Medium,43081,East,6/21/1971,7/27/2015,Regular Air,Ohio,0.02,8,0.59,6,24,1,3
Computer Peripherals,Harrison,Small Pack,2896,Anna Ellis,Home Office,Technology,11259,"Imation 3.5"" DS/HD IBM Formatted Diskettes, 50/Pack",11/12/2015,86931,High,10528,East,4/19/1953,11/12/2015,Regular Air,New York,0.05,7,0.64,-148,113,9,16
Office Furnishings,Harrison,Small Box,2896,Anna Ellis,Home Office,Furniture,11186,Howard Miller Distant Time Traveler Alarm Clock,11/12/2015,86931,High,10528,East,4/20/1953,11/12/2015,Regular Air,New York,0.05,7,0.44,-41,195,19,27
Appliances,Olney,Small Box,3375,Jonathan Hong,Home Office,Office Supplies,10914,Belkin 8 Outlet SurgeMaster II Gold Surge Protector with Phone Protection,2/3/2016,87479,Medium,20832,East,10/3/1954,2/3/2016,Regular Air,Maryland,0.07,8,0.59,416,602,5,81
Binders and Binder Accessories,Boston,Small Box,16,Sarah Ramsey,Small Business,Office Supplies,11140,"GBC Laser Imprintable Binding System Covers, Desert Sand",12/6/2016,86844,High,2129,East,11/29/1971,12/9/2016,Express Air,Massachusetts,0.08,3,0.38,3,46,7,14
Telephones and Communication,Arvada,Small Pack,1113,Julia Reynolds,Corporate,Technology,10366,Accessory31,8/11/2015,90835,High,80004,West,3/12/1964,8/11/2015,Regular Air,Colorado,0.09,2,0.35,-67,57,1,36
Rubber Bands,Warner Robins,Wrap Bag,2637,Julian French,Consumer,Office Supplies,10848,"Staples Vinyl Coated Paper Clips, 800/Box",11/8/2016,90958,Critical,31088,South,12/27/1964,11/8/2016,Regular Air,Georgia,0,4,0.4,-518,34,3,8
Binders and Binder Accessories,Charlotte,Small Box,1031,Neal Helms,Small Business,Office Supplies,11238,Fellowes Binding Cases,2/15/2014,89628,Not Specified,28205,South,1/11/1962,2/13/2015,Regular Air,North Carolina,0,8,0.4,-9,101,6,12
